episode,mean_reward,deck_A_freq,deck_B_freq,deck_C_freq,deck_D_freq
0,-4.0,0.23230230364422474,0.2976786136655919,0.3160730257203476,0.15394605696983568
1,-36.5,0.2600582883975774,0.33167658330639965,0.16508701022818079,0.24317811806784215
2,-22.0,0.27728960223186216,0.32987630048266237,0.22792793369219805,0.1649061635932774
3,-30.5,0.2299404057393324,0.3131997537284472,0.2627576148460665,0.19410222568615385
4,-48.5,0.2727057529428497,0.3322509115987795,0.2377184063183399,0.15732492914003082
5,-35.0,0.267566782012822,0.38746920345286096,0.2527980459220608,0.09216596861225625
6,-74.0,0.11944048070644184,0.3850236416652986,0.334450790639858,0.16108508698840146
7,-60.0,0.173647377976678,0.3957539169084964,0.26732676267331185,0.1632719424415138
8,-64.5,0.21530360660829945,0.2111389117047723,0.3484670333097959,0.2250904483771324
9,-33.0,0.16138035755347357,0.3439715057482725,0.26155983746270645,0.23308829923554744
10,-39.0,0.31379116798645385,0.22919722665330802,0.31093790557458295,0.14607369978565518
11,-29.5,0.26114255995413216,0.28339582476787434,0.20200527732281706,0.25345633795517636
12,-44.0,0.3110831552455581,0.25861812613502927,0.25195955909821893,0.17833915952119367
13,-23.0,0.27830112658177686,0.26231105150994977,0.19317206601116557,0.2662157558971079
14,-28.0,0.2653611706424402,0.31044079620616283,0.2629790687356889,0.16121896441570813
15,-28.0,0.23244306413612456,0.24151453155662084,0.296282016186503,0.22976038812075147
16,-17.5,0.21439110796570615,0.3304786911920753,0.3068278606260174,0.14830234021620117
17,-30.5,0.28103425975478075,0.2490280138365717,0.29555695568097484,0.17438077072767277
18,16.5,0.16877739405362902,0.35155195671744055,0.2744936035978035,0.205177045631127
19,-4.5,0.28143752907304054,0.29770179655315165,0.2329016858643741,0.18795898850943368
20,-7.5,0.28892660075603993,0.25219135542136994,0.20921321337830862,0.24966883044428154
21,-21.5,0.21312031987602367,0.3350870594212891,0.3049260286550747,0.14686659204761257
22,-31.0,0.22411479187983496,0.2828972589137565,0.25622329053393267,0.2367646586724759
23,-71.5,0.31492585202545254,0.3055867227298374,0.21340398853538212,0.16608343670932801
24,-116.0,0.25372136924492145,0.34292470416784787,0.24290646938757815,0.16044745719965253
25,-97.5,0.24704286991764265,0.25327264728005394,0.24936038436925195,0.2503240984330515
26,-71.0,0.2517768106678685,0.2436858866303287,0.2522978470157553,0.25223945568604766
27,-53.0,0.24066866547343857,0.24601773692044318,0.256979823363653,0.25633377424246534
28,-41.5,0.24613665055603273,0.25010360478142,0.25211188878579904,0.2516478558767482
29,-51.0,0.2437618663620175,0.2514383350876028,0.25438197264781137,0.2504178259025684
30,-71.0,0.24441107976647997,0.24511892620108877,0.25624291145178946,0.2542270825806418
31,-76.0,0.24204748798019052,0.24603220190790762,0.25825700455287837,0.2536633055590235
32,-108.5,0.24067159018937329,0.2451400379901054,0.2586472670389206,0.25554110478160075
33,-103.0,0.23683768050763473,0.24512535009329528,0.26026078843587064,0.2577761809631993
34,-74.5,0.23261897915703936,0.25003947687419603,0.26352453187304836,0.25381701209571617
35,-106.0,0.23571373924549732,0.24764385606015196,0.26168740424009235,0.2549550004542584
36,-112.0,0.2375338991126463,0.24159271744379315,0.26523441097728934,0.2556389724662713
37,-105.5,0.2259063812428743,0.2482370540948544,0.2648214269290052,0.2610351377332662
38,-116.0,0.23582414830742668,0.24003989437476486,0.2697980972655294,0.25433786005227904
39,-107.0,0.22595906795593096,0.24757313069595308,0.27138599894821486,0.255081802399901
40,-109.5,0.23158481417328747,0.24180952267701908,0.2606639935591392,0.2659416695905541
41,-114.0,0.2230963510648539,0.2417030719156793,0.2756520191439138,0.259548557875553
42,-107.0,0.22961458672016033,0.2411979901344586,0.26755060125577174,0.26163682188960924
43,-91.5,0.22995069439029184,0.23614636452869217,0.2711513338410071,0.26275160724000896
44,-79.5,0.22414609410934405,0.23640528811362146,0.27315387431164656,0.2662947434653879
45,-62.0,0.2229282324217974,0.23744701257453468,0.2776759240088316,0.2619488309948362
